Set,Number,Purpose,Chem1,Chem2,Chem3,Chem4,Chem5,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,Mval_01.1,Mval_01.2,Mval_02,Mval_03.1,Mval_03.2,Mval_04,Mval_05,Mval_06.1,Mval_06.2,Remarks
20020414OPA,12,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.20,,88.60,x,x,x,-13,,,
20020414OPA,13,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.35,,88.71,22.04,x,x,,,,
20020414OPA,14,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.06,,88.54,99.52,96.79,122,,,,
20020414OPA,15,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,88.78,99.59,97.63,79,,,,
20020414OPA,16,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.12,,88.53,x,x,x,-11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020415OPD,1,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.18,,88.60,x,x,x,-7,,,
20020415OPD,2,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.33,,88.55,99.67,98.21,55,,,,
20020415OPD,3,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,,88.65,99.64,98.16,55,,,,
20020415OPD,4,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.33,,88.52,99.66,98.01,59,,,,
20020415OPD,5,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.29,,88.64,x,x,x,9,,,
20020415OPD,6,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,,88.60,99.56,97.38,86,,,,
20020415OPD,7,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,,88.58,99.60,98.12,56,,,,
20020415OPD,8,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.32,,88.50,99.69,98.47,39,,,,
20020415OPD,9,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.34,,88.47,x,x,x,-4,,,
20020415OPD,10,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,88.46,99.65,98.11,49,,,,
20020415OPD,11,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.08,,88.55,99.64,98.13,48,,,,
20020415OPD,12,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.25,,88.43,99.66,97.98,53,,,,
20020415OPD,13,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,88.97,x,x,x,2,,,
20020415OPD,14,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,88.72,99.63,98.03,52,,,,
20020415OPD,15,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,,88.92,99.62,98.25,37,,,,
20020415OPD,16,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,88.75,99.61,97.84,70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020420OPH,1,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.73,,85.62,,,,,x,x,
20020420OPH,2,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.62,,85.56,,,,,x,x,
20020420OPH,3,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.52,,85.55,,,,,-0.19783,-0.14947,
20020420OPH,4,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.79,,85.60,,,,,-0.2027,-0.15288,
20020420OPH,5,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.78,,86.61,,,,,-0.09773,-0.07348,
20020420OPH,6,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.61,,86.36,,,,,-0.09239,-0.0685,
20020420OPH,7,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.82,,86.54,,,,,x,x,
20020420OPH,8,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.71,,86.31,,,,,-0.09499,-0.07192,
20020420OPH,9,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.72,,85.52,,,,,x,x,
20020420OPH,10,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.40,,85.55,,,,,-0.18426,-0.13879,
20020420OPH,11,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.66,,86.09,,,,,x,x,
20020420OPH,12,Condition_0838,,DXX,20,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.92,,85.43,,,,,-0.17574,-0.13223,
20020420OPH,13,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.47,,86.41,,,,,-0.11145,-0.08464,
20020420OPH,14,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,5.00,,86.41,,,,,x,x,
20020420OPH,15,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.74,,86.36,,,,,-0.10537,-0.07963,
20020420OPH,16,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.61,,86.49,,,,,-0.10607,-0.07909,
20020420OPH,17,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.59,,87.05,,,,,-0.08003,-0.06222,
20020420OPH,18,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.57,,87.22,,,,,-0.06729,-0.04908,
20020420OPH,19,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.62,,87.14,,,,,-0.07676,-0.0587,
20020420OPH,20,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.61,,87.10,,,,,-0.06862,-0.05163,
20020420OPH,21,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.51,,86.84,,,,,-0.0967,-0.07443,
20020420OPH,22,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.65,,86.90,,,,,-0.0877,-0.0669,
20020420OPH,23,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.64,,86.92,,,,,-0.07998,-0.05857,
20020420OPH,24,Condition_0838,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.76,,86.85,,,,,-0.0868,-0.06569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020421OPA,1,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.48,,88.29,99.72,97.99,58,,,,
20020421OPA,2,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.49,,88.50,99.71,97.92,64,,,,
20020421OPA,3,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.26,,88.38,x,x,x,2,,,
20020421OPA,4,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.41,,88.44,99.72,97.66,70,,,,
20020421OPA,5,Condition_0837,,FKI70,15,Ro,810,Sub-I,100,90,80,40,200,22,40,30,130,4.38,,88.49,x,x,x,0,,,
20020421OPA,6,Condition_0837,,FKI70,15,Ro,810,Sub-I,100,90,80,40,200,22,40,30,130,4.35,,88.35,99.68,97.54,81,,,,
20020421OPA,7,Condition_0837,,FKI70,15,Ro,810,Sub-I,100,90,80,40,200,22,40,30,130,4.33,,88.50,99.12,91.84,361,,,,
20020421OPA,8,Condition_0837,,FKI70,15,Ro,810,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,88.37,99.73,97.69,82,,,,
20020421OPA,9,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.38,,88.35,x,x,x,9,,,
20020421OPA,10,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.28,,88.31,99.66,97.18,102,,,,
20020421OPA,11,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.28,,88.33,99.69,97.47,86,,,,
20020421OPA,12,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.57,,88.41,99.68,96.66,124,,,,
20020421OPA,13,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.40,,88.37,99.66,97.57,81,,,,
20020421OPA,14,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,88.30,x,x,x,22,,,
20020421OPA,15,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,88.30,99.64,97.60,79,,,,
20020421OPA,16,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,88.34,99.74,97.79,79,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020422OPD,1,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,,88.27,99.75,98.56,36,,,,
20020422OPD,2,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,88.28,x,x,x,-14,,,
20020422OPD,3,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,,88.22,99.75,98.50,40,,,,
20020422OPD,4,Condition_0837,,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.12,,88.15,99.73,98.32,48,,,,
20020422OPD,5,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,88.39,x,x,x,8,,,
20020422OPD,6,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.10,,88.38,99.68,98.40,39,,,,
20020422OPD,7,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,88.29,99.63,97.94,80,,,,
20020422OPD,8,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.50,,88.25,99.75,98.46,47,,,,
20020422OPD,9,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.38,,88.36,x,x,x,-2,,,
20020422OPD,10,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.13,,88.23,99.68,98.22,53,,,,
20020422OPD,11,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.36,,88.31,99.67,98.05,62,,,,
20020422OPD,12,Condition_0837,,FKI70,15,To,810,Sub-I,100,90,80,40,200,22,40,30,130,4.18,,88.27,99.70,98.28,46,,,,
20020422OPD,13,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,88.62,x,x,x,-7,,,
20020422OPD,14,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.19,,88.26,99.67,98.21,51,,,,
20020422OPD,15,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.46,,88.63,99.66,98.37,40,,,,
20020422OPD,16,Condition_0837,,FKI70,15,Lk,810,Sub-I,100,90,80,40,200,22,40,30,130,4.43,,88.57,99.73,98.34,46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020427OPA,1,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.77,,75.89,99.54,94.52,16,,,,
20020427OPA,2,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,75.89,99.52,93.85,19,,,,
20020427OPA,3,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.29,,76.64,99.48,92.90,25,,,,
20020427OPA,4,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,5.39,,72.28,x,x,x,275,,,
20020427OPA,5,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,5.36,,72.03,99.58,96.55,28,,,,
20020427OPA,6,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,3.95,,77.91,99.51,95.65,21,,,,
20020427OPA,7,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.22,,80.70,x,x,x,213,,,
20020427OPA,8,Condition_0839,,GFP,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,x,,x,99.64,95.96,18,,,,
20020427OPA,9,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.37,,88.14,98.44,75.57,373,,,,
20020427OPA,10,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.20,,88.07,98.28,74.72,395,,,,
20020427OPA,11,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,88.11,97.57,68.28,514,,,,
20020427OPA,12,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.22,,88.03,x,x,x,218,,,
20020427OPA,13,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.38,,88.19,98.50,73.86,330,,,,
20020427OPA,14,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.94,,88.04,98.05,64.21,412,,,,
20020427OPA,15,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.31,,88.11,97.64,62.58,520,,,,
20020427OPA,16,Condition_0840,,,100,,4.5TSV50HI50,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,88.08,x,x,x,209,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020427OPH,1,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,2,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,3,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,4,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,5,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,6,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,7,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,8,Condition_0839,,GFP,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,9,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.66,,88.03,,,,,-0.0346,-0.02584,
20020427OPH,10,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.56,,87.98,,,,,-0.03405,-0.0251,
20020427OPH,11,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.40,,87.97,,,,,-0.03758,-0.0276,
20020427OPH,12,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.55,,88.20,,,,,-0.03516,-0.02574,
20020427OPH,13,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.38,,88.13,,,,,-0.03613,-0.02677,
20020427OPH,14,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.81,,88.25,,,,,-0.03609,-0.02723,
20020427OPH,15,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20020427OPH,16,Condition_0840,,,100,,4.5TSV50HI50,Sub-II,100,90,80,40,200,22,40,30,130,4.76,,88.32,,,,,0.591225,-0.22582,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020428OPD,1,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.37,,88.02,,,,,-0.0018,0.002157,
20020428OPD,2,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.31,,88.09,,,,,x,x,
20020428OPD,3,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.38,,88.27,,,,,-0.01721,-0.01318,
20020428OPD,4,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.23,,88.09,,,,,-0.01636,-0.01223,
20020428OPD,5,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.21,,88.10,,,,,-0.0176,-0.0133,
20020428OPD,6,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.56,,88.15,,,,,-0.01706,-0.01353,
20020428OPD,7,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.59,,88.02,,,,,-0.01964,-0.01507,
20020428OPD,8,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.46,,87.98,,,,,-0.01638,-0.01228,
20020428OPD,9,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.53,,88.66,,,,,-0.01561,-0.01187,
20020428OPD,10,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.51,,88.19,,,,,-0.01083,-0.00803,
20020428OPD,11,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.29,,88.06,,,,,-0.01022,-0.00614,
20020428OPD,12,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.47,,88.13,,,,,-0.01172,-0.00804,
20020428OPD,13,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.36,,88.27,,,,,-0.01669,-0.01129,
20020428OPD,14,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.27,,88.39,,,,,-0.01285,-0.01022,
20020428OPD,15,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.29,,88.39,,,,,x,x,
20020428OPD,16,Condition_0841,,FKI,15,,810,Sub-II,100,90,80,40,200,22,40,30,130,4.26,,88.44,,,,,x,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020505OPA,1,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,x,x,,,,,36,,,
20020505OPA,2,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,7.54,88.59,,,,,,,,
20020505OPA,3,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.36,88.52,,,,,,,,
20020505OPA,4,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,88.50,,,,,,,,
20020505OPA,5,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,x,x,,,,,171,,,
20020505OPA,6,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.16,88.45,,,,,,,,
20020505OPA,7,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.09,88.47,,,,,,,,
20020505OPA,8,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.31,88.47,,,,,,,,
20020505OPA,9,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,x,x,,,,,34,,,
20020505OPA,10,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,3.98,88.46,,,,,,,,
20020505OPA,11,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.15,88.47,,,,,,,,
20020505OPA,12,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.13,88.54,,,,,,,,
20020505OPA,13,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,x,x,,,,,16,,,
20020505OPA,14,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.20,88.45,,,,,,,,
20020505OPA,15,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.24,88.44,,,,,,,,
20020505OPA,16,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.22,88.42,,,,,,,,
20020505OPA,17,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,x,x,,,,,31,,,
20020505OPA,18,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.22,88.44,,,,,,,,
20020505OPA,19,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.40,88.46,,,,,,,,
20020505OPA,20,Condition_0842,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.26,88.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020506OPH,1,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,88.31,,99.73,98.34,41,,,,
20020506OPH,2,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.56,88.43,,99.69,98.14,53,,,,
20020506OPH,3,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.56,88.44,,99.74,98.31,44,,,,
20020506OPH,4,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.38,88.39,,x,x,x,-14,,,
20020506OPH,5,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.57,88.41,,x,x,x,-7,,,
20020506OPH,6,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,88.38,,99.69,98.31,37,,,,
20020506OPH,7,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,88.39,,99.68,98.36,34,,,,
20020506OPH,8,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.36,88.43,,99.70,98.38,39,,,,
20020506OPH,9,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.26,88.38,,x,x,x,-6,,,
20020506OPH,10,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.45,88.41,,99.74,98.30,45,,,,
20020506OPH,11,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.28,88.44,,99.72,98.46,33,,,,
20020506OPH,12,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.36,88.42,,99.72,98.29,40,,,,
20020506OPH,13,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.56,88.40,,x,x,x,5,,,
20020506OPH,14,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.35,88.35,,99.68,97.97,51,,,,
20020506OPH,15,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,88.40,,99.67,98.21,41,,,,
20020506OPH,16,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.48,88.35,,99.72,98.08,51,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020506OPD,1,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.61,88.42,,99.70,98.00,63,,,,
20020506OPD,2,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.22,88.45,,x,x,x,-13,,,
20020506OPD,3,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.14,88.48,,99.67,98.14,52,,,,
20020506OPD,4,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.37,88.40,,99.70,98.11,52,,,,
20020506OPD,5,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.16,88.45,,x,x,x,-22,,,
20020506OPD,6,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,4.07,87.51,,99.65,98.11,48,,,,
20020506OPD,7,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,3.90,88.56,,99.61,98.13,50,,,,
20020506OPD,8,Condition_0837,,FKI70,15,d,810,Sub-I,100,90,80,40,200,22,40,30,130,3.91,88.45,,99.69,98.23,47,,,,
20020506OPD,9,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.18,88.39,,x,x,x,-12,,,
20020506OPD,10,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.38,88.40,,99.68,98.13,52,,,,
20020506OPD,11,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.14,88.41,,99.69,98.10,49,,,,
20020506OPD,12,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.22,88.34,,99.69,97.87,61,,,,
20020506OPD,13,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.09,88.42,,x,x,x,-2,,,
20020506OPD,14,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.26,88.47,,99.63,97.99,52,,,,
20020506OPD,15,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.08,88.37,,99.58,97.85,62,,,,
20020506OPD,16,Condition_0837,,FKI70,15,Tg,810,Sub-I,100,90,80,40,200,22,40,30,130,4.17,88.46,,99.71,98.20,47,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020512OPA,1,Condition_0843,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.45,88.38,,,,,18,,,
20020512OPA,2,Condition_0843,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.43,88.38,,,,,21,,,
20020512OPA,3,Condition_0843,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.84,88.45,,,,,,,,
20020512OPA,4,Condition_0843,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.39,88.39,,,,,,,,
20020512OPA,5,Condition_0844,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.41,88.42,,,,,26,,,
20020512OPA,6,Condition_0844,CHM856,FKI70,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.43,88.40,,,,,33,,,
